title,Price,Mileage(miles),Registration_Year,Previous Owners,Fuel type,Body type,Engine,Gearbox,Doors,Seats,Emission Class,Service history
VAUXHALL CORSA,1795,63796,2008,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ASTRA,1250,178000,2007,4,Petrol,Hatchback,1.8L,Automatic,5,5,Euro 4,
VAUXHALL CORSA,988,113218,2005,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
VAUXHALL ASTRA,1995,88000,2008,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,Full
VAUXHALL CORSA,1999,122000,2009,3,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,
BMW 3 SERIES,1449,57000,1999,,Petrol,Saloon,1.9L,Automatic,4,5,Euro 3,
FORD FOCUS,1290,119000,2002,4,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 3,
VOLKSWAGEN POLO,1449,111400,2008,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,
VAUXHALL CORSA,3295,94000,2014,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
HONDA ACCORD,1400,155085,2004,2,Petrol,Estate,2.4L,Manual,5,5,Euro 4,Full
VAUXHALL CORSA,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
FORD FOCUS,2249,99000,2009,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
FORD FOCUS,1390,127000,2008,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
FORD FOCUS,1795,104020,2010,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
PEUGEOT 207,1699,92000,2009,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
FORD FIESTA,999,99000,2004,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
VOLKSWAGEN BEETLE,700,101000,2003,5,Petrol,Convertible,2.0L,Manual,2,4,Euro 4,
VAUXHALL ASTRA,3250,100312,2013,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
MG MG6,3245,55000,2012,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,
FORD C-MAX,1250,135000,2008,5,Petrol,MPV,2.0L,Automatic,5,5,Euro 4,
HONDA CIVIC,1900,132000,2008,6,Petrol,Hatchback,1.8L,Automatic,5,5,Euro 4,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
HONDA CIVIC,1000,160000,2008,5,Diesel,Hatchback,2.2L,Manual,3,5,Euro 4,
CITROEN C1,1490,65500,2008,3,Petrol,Hatchback,1.0L,Manual,3,4,Euro 4,
VAUXHALL CORSA,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
TOYOTA AURIS,1695,115000,2007,6,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
HYUNDAI I30,1750,130000,2010,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
VOLKSWAGEN POLO,2495,149000,2010,1,Diesel,Hatchback,1.2L,Manual,5,5,Euro 5,
HONDA CIVIC,1389,68000,2002,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 3,
FORD FOCUS,4490,84000,2013,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 5,
HONDA CIVIC,990,113000,2004,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 3,
VOLVO S40,2849,101000,2009,4,Petrol,Saloon,1.6L,Manual,4,5,Euro 4,Full
SEAT IBIZA,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
PEUGEOT 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
FORD MONDEO,1990,84815,2003,5,Petrol,Hatchback,3.0L,Manual,5,5,Euro 4,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
VAUXHALL MERIVA,1600,78521,2011,2,Diesel,MPV,1.3L,Manual,5,5,Euro 5,
MERCEDES-BENZ B CLASS,2650,85000,2008,,Petrol,MPV,1.5L,Manual,5,5,Euro 4,
MAZDA MAZDA3,2990,66000,2009,,Petrol,Saloon,1.6L,Manual,4,5,Euro 4,Full
BMW 3 SERIES,2495,171090,2010,3,Petrol,Saloon,2.0L,Manual,4,5,Euro 5,
NISSAN 350 Z,4300,100479,2004,3,Petrol,Coupe,3.5L,Manual,2,2,Euro 3,Full
MINI HATCH,2499,68000,2008,4,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,Full
ALFA ROMEO MITO,1500,120000,2011,2,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
BMW 3 SERIES,2495,113000,2009,6,Petrol,Saloon,2.0L,Manual,4,5,Euro 4,
SEAT IBIZA,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
FORD FOCUS,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
VAUXHALL ASTRA,3300,71000,2012,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
RENAULT FLUENCE,2490,67104,2010,1,Diesel,Saloon,1.5L,Manual,4,5,,
PEUGEOT 207,1490,75000,2007,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
VOLKSWAGEN PASSAT,2495,104000,2006,,Petrol,Saloon,3.2L,Automatic,4,5,Euro 4,
BMW 3 SERIES,1995,75350,2005,3,Petrol,Saloon,1.8L,Automatic,4,5,Euro 3,
HONDA ACCORD,3490,22641,2006,2,Petrol,Saloon,2.0L,Manual,4,5,Euro 4,
BMW 3 SERIES,2490,104392,2010,4,Petrol,Saloon,2.0L,Manual,4,5,Euro 5,
HONDA CIVIC,2995,104068,2010,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
VAUXHALL INSIGNIA,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,
VAUXHALL CORSA,1950,93000,2012,4,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
FORD FOCUS,988,111479,2005,2,Petrol,Hatchback,1.6L,Manual,3,5,Euro 3,
CITROEN XM,3250,126000,1995,4,Diesel,Hatchback,2.5L,Manual,5,,Euro 2,
BMW 3 SERIES,1389,80000,2000,,Petrol,Saloon,1.9L,Manual,4,5,Euro 3,
MINI HATCH,1395,99911,2003,4,Petrol,Hatchback,1.6L,Manual,3,4,Euro 3,
MINI HATCH,2490,46000,2007,3,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,
VAUXHALL ASTRA,2895,120000,2014,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,Full
VAUXHALL ANTARA,3289,79000,2012,,Diesel,SUV,2.2L,Manual,5,5,Euro 5,
VAUXHALL INSIGNIA,3799,114000,2014,3,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,Full
PEUGEOT 207,2945,66000,2008,3,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,
NISSAN NOTE,2499,65000,2009,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
FORD FOCUS,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
SEAT IBIZA,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
MERCEDES-BENZ A CLASS,995,184000,2009,,Diesel,Hatchback,2.0L,Manual,5,5,Euro 4,
BMW 5 SERIES,2950,139000,2004,,Petrol,Saloon,3.0L,Automatic,4,5,Euro 3,
HONDA CR-V,1389,120000,1999,,Petrol,SUV,2.0L,Automatic,5,5,Euro 3,
PROTON SAVVY,990,85000,2007,,Petrol,Hatchback,1.2L,Manual,5,4,Euro 4,
VAUXHALL CORSA,1850,93000,2009,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
PEUGEOT 207,1990,51116,2008,3,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
MINI HATCH,2695,69000,2005,,Petrol,Hatchback,1.6L,Manual,3,4,Euro 3,
NISSAN MICRA,1895,111998,2007,2,Petrol,Hatchback,1.2L,Automatic,3,5,Euro 4,
VAUXHALL ASTRA,1995,93101,2008,6,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
FORD FOCUS,2950,105000,2011,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
MINI HATCH,10000,46923,2017,3,Petrol,Hatchback,1.5L,Manual,3,4,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
FIAT PANDA,1395,45000,2010,,Petrol,Hatchback,1.1L,Manual,5,4,Euro 4,
BMW 3 SERIES,2495,74325,2007,,Petrol,Saloon,2.0L,Manual,4,5,Euro 4,
VAUXHALL CORSA,1498,102329,2007,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 4,
MAZDA MAZDA2,2495,97000,2008,2,Petrol,Hatchback,1.5L,Manual,5,5,Euro 4,Full
VAUXHALL INSIGNIA,1949,113000,2011,,Diesel,Hatchback,2.0L,Manual,5,5,Euro 5,
VAUXHALL CORSA,2700,84000,2014,3,Diesel,Hatchback,1.3L,Manual,5,5,Euro 5,
RENAULT MEGANE,1990,43000,2007,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
RENAULT CLIO,1400,92000,2006,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
HYUNDAI I20,1500,100600,2010,4,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,
FORD FOCUS,2995,100000,2012,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
PEUGEOT 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
CITROEN C3,1300,120000,2010,1,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
AUDI A6 SALOON,4250,95000,2006,,Petrol,Saloon,3.1L,Automatic,4,5,Euro 4,
TOYOTA YARIS,2999,27682,2007,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,
BMW 1 SERIES,2495,89900,2007,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
FIAT 500,2499,80742,2011,3,Petrol,Hatchback,1.2L,Manual,3,4,Euro 5,Full
SEAT IBIZA,2394,55926,2008,3,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
HYUNDAI I30,1999,105000,2010,7,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
MERCEDES-BENZ M CLASS,2495,132000,2004,,Petrol,SUV,3.7L,Automatic,5,5,Euro 3,
PEUGEOT 308,3495,79000,2010,,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,
AUDI A4,3995,89000,2008,4,Petrol,Saloon,1.8L,Manual,4,5,Euro 4,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
PEUGEOT 308 SW,9600,56984,2016,4,Diesel,Estate,1.6L,Manual,5,5,Euro 6,
FORD S-MAX,1839,103900,2009,4,Diesel,MPV,2.0L,Manual,5,7,Euro 4,
VOLKSWAGEN POLO,2595,102000,2010,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
HONDA CIVIC,4700,95000,2011,7,Petrol,Hatchback,1.4L,Automatic,3,5,Euro 5,
PEUGEOT 1007,2490,36600,2007,,Petrol,Hatchback,1.6L,Automatic,3,4,Euro 4,
HONDA ODYSSEY,2449,88240,2012,,Petrol,MPV,2.4L,Automatic,5,7,,
VAUXHALL CORSA,990,130000,2006,1,Petrol,Hatchback,1.2L,Manual,3,5,Euro 4,
PEUGEOT 307 CC,1950,70345,2008,5,Petrol,Convertible,1.6L,Manual,2,4,Euro 4,
CITROEN C1,1390,97000,2011,3,Petrol,Hatchback,1.0L,Manual,5,4,Euro 5,
HYUNDAI I20,3495,112000,2010,2,Petrol,Hatchback,1.4L,Automatic,5,5,Euro 4,Full
NISSAN MICRA,1490,49000,2004,,Petrol,Hatchback,1.0L,Manual,5,5,Euro 3,
SEAT IBIZA,2799,99061,2011,,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
HONDA CIVIC,9198,78691,2018,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
FORD FOCUS,2350,89000,2010,6,Diesel,Hatchback,1.6L,Manual,5,5,Euro 5,
HONDA JAZZ,1399,171000,2007,1,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
MINI HATCH,1189,125000,2005,,Petrol,Hatchback,1.6L,Manual,3,4,Euro 4,
BMW 5 SERIES,3889,115000,2011,,Diesel,Saloon,2.0L,Manual,4,5,Euro 5,
BMW 3 SERIES,2599,99000,2007,1,Petrol,Saloon,3.0L,Manual,4,5,Euro 4,
VAUXHALL CORSA,2795,71000,2011,3,Petrol,Hatchback,1.0L,Manual,3,5,Euro 5,
MERCEDES-BENZ CLK,3995,70000,2009,,Petrol,Coupe,2.0L,Automatic,2,5,,
FORD FIESTA,2699,97500,2009,,Petrol,Hatchback,1.3L,Manual,3,5,Euro 4,
VAUXHALL CORSA,3999,36000,2014,2,Petrol,Hatchback,1.4L,Manual,3,5,Euro 5,
CITROEN DS4,2700,97385,2013,4,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
PEUGEOT 207,999,111400,2007,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
KIA RIO,3250,66800,2013,1,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,
BMW 3 SERIES,2898,98979,2003,,Petrol,Coupe,2.5L,Automatic,2,5,Euro 3,
VOLKSWAGEN GOLF,2950,98207,2007,4,Petrol,Hatchback,1.6L,Automatic,5,5,Euro 4,Full
VAUXHALL CORSA,1749,60000,2006,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
FORD FOCUS,2495,101591,2010,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,Full
MAZDA MAZDA3,3799,68000,2011,2,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
TOYOTA YARIS,1100,164470,2006,3,Petrol,Hatchback,1.3L,Manual,5,5,Euro 4,
VAUXHALL CORSA,2490,86000,2011,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
HYUNDAI I30,3250,90000,2010,,Petrol,Estate,1.6L,Automatic,5,5,Euro 4,
VOLKSWAGEN POLO,3000,123000,2010,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
FORD FIESTA,2995,67361,2009,1,Petrol,Hatchback,1.3L,Manual,3,5,Euro 5,Full
MITSUBISHI OUTLANDER,4495,116000,2009,3,Petrol,SUV,2.4L,Automatic,5,7,Euro 4,Full
VOLKSWAGEN SCIROCCO,3750,99000,2010,3,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
FORD FIESTA,2945,80997,2009,,Petrol,Hatchback,1.3L,Manual,3,5,Euro 4,Full
VOLKSWAGEN PASSAT,2889,100000,2009,,Diesel,Estate,2.0L,Manual,5,5,Euro 5,
TOYOTA COROLLA,995,110846,2005,3,Diesel,Hatchback,2.0L,Manual,5,5,Euro 3,
SEAT IBIZA,3350,65000,2013,4,Petrol,Hatchback,1.4L,Manual,3,3,Euro 5,
AUDI A3,2499,85578,2008,5,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
VAUXHALL CORSA,2100,77502,2012,5,Petrol,Hatchback,1.2L,Manual,5,5,Euro 5,
AUDI A3,1800,130500,2011,2,Petrol,Hatchback,1.6L,Manual,3,5,Euro 5,Full
PEUGEOT 207,1299,87000,2008,5,Diesel,Hatchback,1.6L,Manual,5,5,Euro 4,
KIA SPORTAGE,10198,50028,2016,,Petrol,SUV,1.6L,Manual,5,5,Euro 6,
PEUGEOT 308,9149,55301,2016,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
VAUXHALL ASTRA,2300,64000,2010,6,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
VAUXHALL CORSA,1500,96270,2008,9,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
FORD KA,1195,45000,2005,,Petrol,Hatchback,1.3L,Manual,3,5,Euro 3,
VAUXHALL ASTRA,3250,78000,2011,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 5,
CITROEN DS3,5299,54000,2014,,Petrol,Hatchback,1.6L,Manual,3,5,Euro 5,Full
VOLKSWAGEN PASSAT,2250,49000,2005,,Diesel,Saloon,1.9L,Automatic,4,5,Euro 3,
VAUXHALL ZAFIRA,2495,95000,2011,2,Petrol,MPV,1.8L,Manual,5,7,Euro 5,Full
FORD FIESTA,7699,58000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 5,
FIAT GRANDE PUNTO,1999,76850,2009,3,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,Full
MERCEDES-BENZ B CLASS,2299,99000,2009,4,Diesel,MPV,2.0L,Manual,5,5,Euro 4,
VAUXHALL INSIGNIA,2950,79000,2011,4,Petrol,Hatchback,1.8L,Manual,5,5,Euro 5,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
MERCEDES-BENZ A CLASS,15900,62402,2019,1,Petrol,Hatchback,1.3L,Automatic,5,5,Euro 6,
VAUXHALL INSIGNIA,3450,147000,2016,2,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
BMW 3 SERIES,4000,114121,2006,,Petrol,Coupe,3.0L,Automatic,2,4,Euro 4,
RENAULT CLIO,1899,82000,2009,2,Petrol,Hatchback,1.2L,Manual,3,5,Euro 5,
PEUGEOT 508,3995,91000,2011,,Diesel,Saloon,2.2L,Automatic,4,5,Euro 5,
HYUNDAI I20,5799,69550,2016,,Petrol,Coupe,1.2L,Manual,3,5,Euro 6,
MERCEDES-BENZ 260,2995,57400,1991,,Petrol,Saloon,2.6L,Automatic,4,,,
SAAB 9-3,2000,138000,2008,6,Petrol,Saloon,2.0L,Automatic,4,5,Euro 4,
VOLKSWAGEN GOLF,2485,77720,2006,,Petrol,Hatchback,1.4L,Manual,3,5,Euro 4,
SKODA FABIA,1995,84000,2008,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 4,
VOLKSWAGEN GOLF,2490,59042,2006,3,Diesel,Hatchback,1.9L,Manual,5,5,Euro 4,
VOLKSWAGEN POLO,3495,127000,2015,,Petrol,Hatchback,1.0L,Manual,3,5,Euro 6,
HONDA CIVIC,9198,78691,2018,,Diesel,Hatchback,1.6L,Manual,5,5,Euro 6,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
MG MIDGET,1875,75043,1972,3,Petrol,Convertible,1.3L,Manual,2,,,
VAUXHALL ADAM,2745,120000,2014,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 5,
PEUGEOT 1007,1990,56817,2008,,Petrol,Hatchback,1.4L,Manual,3,4,Euro 4,
NISSAN MICRA,1650,85285,2009,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,
VAUXHALL CORSA,2250,82000,2010,,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
VOLKSWAGEN POLO,3795,87009,2009,4,Petrol,Hatchback,1.4L,Manual,5,5,Euro 5,
FORD MONDEO,5450,69756,2012,4,Diesel,Hatchback,2.2L,Manual,5,5,Euro 5,
AUDI A6 AVANT,2600,234680,2011,1,Diesel,Estate,2.0L,Manual,5,5,Euro 5,
BMW 3 SERIES,2999,77708,2001,7,Petrol,Coupe,2.2L,Manual,2,5,Euro 3,
VAUXHALL MERIVA,1990,68840,2011,4,Petrol,MPV,1.4L,Manual,5,5,Euro 5,
FORD FOCUS,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
BMW 3 SERIES,19800,69690,2019,1,Petrol Plug-in Hybrid,Saloon,2.0L,Automatic,4,5,Euro 6,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
FORD FOCUS,2395,109000,2009,,Petrol,Hatchback,1.8L,Manual,5,5,Euro 4,
BMW 3 SERIES,1789,119300,2002,,Petrol,Saloon,2.2L,Manual,4,5,Euro 3,
MERCEDES-BENZ B CLASS,5995,78000,2013,,Diesel,MPV,1.8L,Automatic,5,5,Euro 5,
NISSAN QASHQAI,3795,120090,2011,2,Petrol,SUV,1.6L,Manual,5,5,Euro 5,
NISSAN ALMERA TINO,990,93000,2004,3,Petrol,MPV,1.8L,Manual,5,5,Euro 3,
MERCEDES-BENZ C CLASS,3100,140000,2012,2,Diesel,Coupe,2.1L,Manual,2,4,Euro 5,
FORD KA,1950,88000,2009,,Petrol,Hatchback,1.2L,Manual,3,4,Euro 4,
VAUXHALL CORSA,2250,77000,2009,7,Petrol,Hatchback,1.2L,Manual,5,5,Euro 4,
SKODA FABIA,2495,124138,2011,3,Petrol,Hatchback,1.2L,Automatic,5,5,Euro 5,
RENAULT MEGANE,2495,101347,2011,2,Petrol,Estate,1.6L,Manual,5,5,Euro 5,
FORD FOCUS,798,140599,2008,,Petrol,Hatchback,1.6L,Manual,5,5,Euro 4,
FORD FOCUS,8975,86500,2017,,Diesel,Hatchback,1.5L,Manual,5,5,Euro 6,
VAUXHALL CORSA,10698,22782,2020,,Petrol,Hatchback,1.2L,Manual,5,5,Euro 6,
